# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 21.823916287643826,3.066955236687801,4.604083189795953,8.739634244797848,-1.0,-0.0,-0.1103450922160015,133.35783066915454,6.3478414281592865,43.492307200169385
 21.846624443034305,3.044519497001938,4.6005763527615,8.883782014342598,-1.0,-0.0,-0.11080450933791285,134.34546073934635,6.375026963594719,43.54300677529435
 21.86914533629583,3.0222775577627905,4.597042690047102,9.027353316129059,-1.0,-0.0,-0.11133799862906195,135.32608814721863,6.406499150667924,43.59515847401341
 21.891475107013314,3.000233190414434,4.593483964361386,9.170408973265229,-1.0,-0.0,-0.11194902683107244,136.2995580403357,6.4424601788733415,43.64888811161091
 21.913609889775948,2.978390166400943,4.589901938412985,9.313011429781513,-1.0,-0.0,-0.11264140325180282,137.26571669651676,6.483132198578592,43.7043284550252
 21.935545814328126,2.956752257166393,4.586298374910524,9.45522492855133,-1.0,-0.0,-0.11341931332782673,138.2244115481098,6.528759288692134,43.76161976810215
 21.957279005718537,2.935323234154857,4.582675036562634,9.597115703714394,-1.0,-0.0,-0.11428735662655848,139.17549120608433,6.579609678153628,43.82091040674146
 21.978805584447663,2.9141068688104124,4.579033686077945,9.738752189458092,-1.0,-0.0,-0.1152505894923162,140.11880548393705,6.635978240181249,43.882357469324894
 22.000121666614056,2.8931069325771324,4.575376086165084,9.880205246880195,-1.0,-0.0,-0.11631457312159642,141.05420542140823,6.6981893063752835,43.946127508805084
 22.021223364059644,2.8723271968990924,4.571703999532682,10.021548411056594,-1.0,-0.0,-0.11748542790567333,141.98154330800423,6.766599847155162,44.01239731332056
 22.04210678451446,2.851771433220368,4.568019188889366,10.162858160714224,-1.0,-0.0,-0.11876989488212086,142.9006727063227,6.841603068992504,44.08135476342514
 22.06276803174114,2.8314434129850325,4.5643234169437665,10.304214213149494,-1.0,-0.0,-0.12017540532052845,143.81144847517683,6.923632494234827,44.15319977487958
 22.083203205679567,2.8113469076371618,4.560618446404513,10.445699847454929,-1.0,-0.0,-0.1217101599242885,144.71372679251462,7.013166595031489,44.22814533729423
 22.103408402592088,2.7914856886208312,4.556906039980234,10.587402259487853,-1.0,-0.0,-0.12338321875005939,145.60736517813024,7.110734068024228,44.30641866018087
 22.123379715209783,2.7718635273801144,4.553187960379558,10.729412952501661,-1.0,-0.0,-0.12520460392609337,146.4922225161632,7.216919854662635,44.388262439887036
 22.143113232880253,2.7524841953590866,4.5494659703111155,10.871828167980015,-1.0,-0.0,-0.12718541705041025,147.3681590773822,7.332372020974803,44.47393626245655
 22.162605041717505,2.7333514640018235,4.545741832483535,11.01474936173647,-1.0,-0.0,-0.12933797345462683,148.2350365412501,7.457809645497576,44.56371815996964
 22.181851224754507,2.7144691047524,4.542017309605446,11.158283731228831,-1.0,-0.0,-0.13167595677433389,149.09271801776623,7.594031879159916,44.6579063403583
 22.2008478620991,2.6958408890548893,4.538294164385475,11.302544800820508,-1.0,-0.0,-0.13421459652885373,149.9410680690828,7.74192837950159,44.756821113693256
 22.219591031094023,2.6774705883533674,4.534574159532254,11.447653072784101,-1.0,-0.0,-0.1369708734615757,150.77995273089232,7.902491364494463,44.86080704166282
 22.23807680648187,2.65936197409191,4.5308590577544114,11.593736753152555,-1.0,-0.0,-0.13996375676774597,151.6092395335821,8.053607361074745,44.84093859918904
 22.25635380993392,2.641518817714591,4.527150621760575,11.740932562692363,-0.994249674663962,0.3146207938913232,-0.14321447983335092,152.42879752315258,8.14330404689017,44.41529128630023
 22.274584012535197,2.623944890665485,4.523450614259376,11.889386645310971,-0.9760194720626832,1.0000000000000913,-0.14674686108184068,153.23849728189657,8.191285106964854,43.709407260706776
 22.29288015785168,2.6066439643886676,4.519760797959443,12.039255587956747,-0.9577233267462004,0.9999999999999575,-0.15058767839375536,154.03821094883583,8.248230854287295,43.0024995861427
 22.3112419112073,2.589619810328214,4.516082935569403,12.190707568523386,-0.9393615733905805,0.9999999999999879,-0.15476710789171685,154.82781223991174,8.314754460230592,42.294660454728394
 22.32966892349765,2.5728761999281984,4.512418789797888,12.343923651153291,-0.9209345611002323,0.9999999999999458,-0.15931923971611264,155.60717646792716,8.391541621177597,41.58598282917737
 22.348160829711997,2.5564169046326954,4.508770123353525,12.499099251805898,-0.9024426548858837,1.0000000000000782,-0.16428268572152177,156.37618056223576,8.479360227156086,40.87656054892966
 22.366717247271463,2.5402456958857798,4.505138698944943,12.656445800818139,-0.8838862373264161,1.0000000000000657,-0.16970129925895447,157.1347030881765,8.579071614269786,40.1664884511308
 22.38533777415628,2.5243663451315275,4.501526279280773,12.81619263445842,-0.8652657104415995,0.9999999999999821,-0.17562502967366295,157.88262426624948,8.691643686609758,39.4558625088672
 22.404021986790468,2.508782623814013,4.497934627069643,12.978589153239634,-0.8465814978074107,1.0000000000000475,-0.18211094180780021,158.61982599103044,8.818166277854898,38.744779989696795
 22.422769437646657,2.4934983033773106,4.494365505020181,13.143907292175422,-0.8278340469512225,0.9999999999999467,-0.18922443631987682,159.34619184982114,8.9598691933809,38.033339638109
 22.441579652527032,2.4785171552654957,4.490820675841019,13.31244435700297,-0.8090238320708465,1.000000000000053,-0.1970407175510005,160.06160714103225,9.118143491031534,37.321641886005004
 22.46045212746838,2.4638429509226434,4.487301902240784,13.484526291549066,-0.7901513571295,0.9999999999999882,-0.20564656634699807,160.7659588922958,9.294566661211896,36.60978909669469
 22.47938632520928,2.449479461792828,4.483810946928104,13.660511454628436,-0.7712171593885992,1.0,-0.21514249189461482,161.4591358783053,9.490932564428588,35.89788584828578
 22.498381671145683,2.435430459320125,4.48034957261161,13.840795001948832,-0.7522218134521951,1.0000000000000409,-0.22564535594693436,162.141028638379,9.709287168368318,35.18603926438277
 22.51743754868644,2.421699714948608,4.47691954199993,14.025813989237314,-0.7331659359114368,1.0000000000000115,-0.2372915899731025,162.81152949374538,9.951971399807057,34.474359401201035
 22.536553293902532,2.408291000122354,4.473522617801695,14.216053338913849,-0.7140501906953447,1.000000000000064,-0.25024116110212036,163.4705325645467,10.221672791860787,33.762959702486576
